sku,nombre,descripcion,categoria_nivel1,categoria_nivel2,categoria_nivel3,categoria_nivel4,precio,stock,descuento,marca,producto_padre_id,tipo_variante,valor_variante
FAR-001056,Norvital Povidona yodada toallitas 20 unidades,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,6.61,Yes,5,Norvital,PADRE-00748,presentacion,toallitas 20 unidades
FAR-001438,"Bienestar Plus Pañal aqua pure talla 4, 38 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,21.51,Yes,0,Bienestar Plus,PADRE-01036,presentacion,"talla 4, 38 unidades"
FAR-003970,Bruma Salud Loratadina 10mg 10 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,3.44,Yes,0,Bruma Salud,PADRE-00205,presentacion,10mg 10 comprimidos
FAR-000368,Herbolar Hidratante piel atópica loción 250ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,18.27,Yes,0,Herbolar,PADRE-00572,presentacion,loción 250ml
FAR-000538,MediCare Plus Clorhexidina solución 250ml,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,11.79,Yes,30,MediCare Plus,PADRE-00730,presentacion,solución 250ml
FAR-004821,Salutia Rodillera de compresión muñequera talla L,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,5.69,Yes,0,Salutia,PADRE-01213,presentacion,muñequera talla L
FAR-001842,Farmoderma Termómetro digital frontal 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,6.26,Yes,0,Farmoderma,PADRE-00843,presentacion,frontal 1 unidad
FAR-002108,Aliviax Espuma limpiadora crema noche 50ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,7.10,Yes,10,Aliviax,PADRE-01136,presentacion,crema noche 50ml
FAR-004674,Nortfarma Cetirizina gotas 20ml,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,16.92,Yes,25,Nortfarma,PADRE-00220,presentacion,gotas 20ml
FAR-002035,Aliviax Hidratante clásica crema 400ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,14.86,Yes,40,Aliviax,PADRE-00546,presentacion,crema 400ml
FAR-002333,Salutia Multivitamínico deportistas 24 comprimidos masticables,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,6.79,Yes,0,Salutia,PADRE-00431,presentacion,24 comprimidos masticables
FAR-002093,Farmalia Apósito transpirable tiras surtidas 30 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,3.06,No,40,Farmalia,PADRE-00822,presentacion,tiras surtidas 30 unidades
FAR-001091,Salutia Multivitamínico senior 30 comprimidos,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,23.68,Yes,0,Salutia,PADRE-00391,presentacion,30 comprimidos
FAR-001170,Herbolar Champú anticaspa 500ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,23.71,Yes,0,Herbolar,PADRE-00667,presentacion,500ml
FAR-001688,Vitaxel Vitamina C liposomal 1000mg 10 sobres,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,32.51,Yes,0,Vitaxel,PADRE-00350,presentacion,1000mg 10 sobres
FAR-000778,Norvital Hidratante urea crema 400ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,21.36,Yes,0,Norvital,PADRE-00597,presentacion,crema 400ml
FAR-003995,Botica Real Loción antiimperfecciones gel 200ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,28.18,Yes,15,Botica Real,PADRE-01148,presentacion,gel 200ml
FAR-003476,Botica Real Termómetro infantil infantil 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,14.26,Yes,25,Botica Real,PADRE-00877,presentacion,infantil 1 unidad
FAR-003233,Nortfarma Apósito resistente al agua caja 20 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,7.21,Yes,0,Nortfarma,PADRE-00807,presentacion,caja 20 unidades
FAR-001007,Vitalnova Ebastina jarabe 150ml,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,17.96,Yes,5,Vitalnova,PADRE-00247,presentacion,jarabe 150ml
FAR-002416,Farmoderma Champú anticaspa 300ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,20.14,Yes,20,Farmoderma,PADRE-00670,presentacion,300ml
FAR-004462,Vitalnova Hidratante intensiva crema 200ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,23.91,Yes,0,Vitalnova,PADRE-00570,presentacion,crema 200ml
FAR-000437,MediCare Plus Toallitas dermo pack 3x72 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,9.06,Yes,0,MediCare Plus,PADRE-01092,presentacion,pack 3x72 unidades
FAR-000582,Vitaxel Loción antiimperfecciones espuma limpiadora 150ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,7.79,Yes,0,Vitaxel,PADRE-01144,presentacion,espuma limpiadora 150ml
FAR-000837,Bienestar Plus Multivitamínico mujer 60 cápsulas,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,29.56,Yes,0,Bienestar Plus,PADRE-00414,presentacion,60 cápsulas
FAR-000969,Norvital Vitamina C con zinc goma de mascar 60 unidades,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,33.58,No,10,Norvital,PADRE-00342,presentacion,goma de mascar 60 unidades
FAR-000569,Bienestar Plus Povidona yodada toallitas 20 unidades,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,10.26,No,30,Bienestar Plus,PADRE-00740,presentacion,toallitas 20 unidades
FAR-000199,Vitalnova Loratadina 10mg 20 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,2.67,Yes,50,Vitalnova,PADRE-00203,presentacion,10mg 20 comprimidos
FAR-001300,Botica Real Champú anticaspa 250ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,4.57,Yes,0,Botica Real,PADRE-00675,presentacion,250ml
FAR-002226,MediCare Plus Toallitas aqua eco 60 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,10.49,Yes,0,MediCare Plus,PADRE-01070,presentacion,eco 60 unidades
FAR-001326,Herbolar Ibuprofeno 600mg 20 comprimidos,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,3.14,Yes,0,Herbolar,PADRE-00019,presentacion,600mg 20 comprimidos
FAR-001895,Vitalnova Magnesio con vitamina B6 500mg 60 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,29.07,Yes,0,Vitalnova,PADRE-00452,presentacion,500mg 60 comprimidos
FAR-003697,Salutia Gel seborregulador gel 200ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,16.60,Yes,0,Salutia,PADRE-01115,presentacion,gel 200ml
FAR-003478,Farmalia Almagato suspensión oral 200ml,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,6.12,Yes,0,Farmalia,PADRE-00142,presentacion,suspensión oral 200ml
FAR-000794,Herbolar Jarabe expectorante 200ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,5.40,Yes,0,Herbolar,PADRE-00097,presentacion,200ml
FAR-002341,Farmoderma Jarabe balsámico infantil 100ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,2.51,No,15,Farmoderma,PADRE-00077,presentacion,infantil 100ml
FAR-002187,Nortfarma Espuma limpiadora gel 150ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,7.50,No,5,Nortfarma,PADRE-01138,presentacion,gel 150ml
FAR-003229,Nortfarma Solar infantil SPF50 200ml,Protege la piel frente a la radiación UVA/UVB.,Farmacia,Cuidado personal,Protección solar,Protector solar,17.38,Yes,25,Nortfarma,PADRE-00634,presentacion,SPF50 200ml
FAR-002049,Herbolar Magnesio 500mg 60 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,27.27,Yes,0,Herbolar,PADRE-00438,presentacion,500mg 60 comprimidos
FAR-003231,Nortfarma Apósito resistente al agua caja 40 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,12.24,Yes,0,Nortfarma,PADRE-00807,presentacion,caja 40 unidades
FAR-003911,Vitalnova Oximetazolina spray 15ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,10.13,Yes,30,Vitalnova,PADRE-00308,presentacion,spray 15ml
FAR-003822,Vitalnova Suero fisiológico spray 15ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,9.89,No,0,Vitalnova,PADRE-00268,presentacion,spray 15ml
FAR-000973,Salutia Jarabe balsámico 120ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,13.40,Yes,0,Salutia,PADRE-00081,presentacion,120ml
FAR-004391,Cronos Pharma Povidona yodada toallitas 20 unidades,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,12.98,Yes,10,Cronos Pharma,PADRE-00738,presentacion,toallitas 20 unidades
FAR-000612,Nortfarma Termómetro digital flexible 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,9.04,Yes,0,Nortfarma,PADRE-00848,presentacion,flexible 1 unidad
FAR-000939,Vitaxel Ácido acetilsalicílico 400mg 30 cápsulas,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,14.23,Yes,0,Vitaxel,PADRE-00038,presentacion,400mg 30 cápsulas
FAR-003981,Herbolar Almagato 30 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,16.38,No,15,Herbolar,PADRE-00146,presentacion,30 comprimidos masticables
FAR-004531,Farmoderma Loción antiimperfecciones crema noche 50ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,20.51,No,50,Farmoderma,PADRE-01153,presentacion,crema noche 50ml
FAR-004839,Bienestar Plus Magnesio 500mg 60 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,30.13,No,10,Bienestar Plus,PADRE-00447,presentacion,500mg 60 comprimidos
FAR-000732,"Vitaxel Pañal sensitive talla 5, 34 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,10.38,Yes,40,Vitaxel,PADRE-01019,presentacion,"talla 5, 34 unidades"
FAR-000117,Cronos Pharma Muñequera de compresión 10cm x 4m,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,17.20,Yes,0,Cronos Pharma,PADRE-01200,presentacion,10cm x 4m
FAR-000949,Vitaxel Jarabe pectoral 120ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,8.21,Yes,0,Vitaxel,PADRE-00121,presentacion,120ml
FAR-001458,Cronos Pharma Pasta blanqueante 75ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,7.16,No,0,Cronos Pharma,PADRE-00889,presentacion,75ml
FAR-004220,Norvital Paracetamol 400mg 30 cápsulas,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,10.49,No,15,Norvital,PADRE-00015,presentacion,400mg 30 cápsulas
FAR-001839,Salutia Ebastina 10mg 10 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,12.30,Yes,0,Salutia,PADRE-00248,presentacion,10mg 10 comprimidos
FAR-001995,Nortfarma Venda elástica coderas talla M,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,13.18,Yes,0,Nortfarma,PADRE-01166,presentacion,coderas talla M
FAR-002936,Bienestar Plus Termómetro infantil flexible 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,7.07,Yes,0,Bienestar Plus,PADRE-00880,presentacion,flexible 1 unidad
FAR-003700,Salutia Gel seborregulador espuma limpiadora 150ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,16.51,Yes,10,Salutia,PADRE-01115,presentacion,espuma limpiadora 150ml
FAR-002750,Herbolar Omeprazol 30 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,14.53,Yes,0,Herbolar,PADRE-00194,presentacion,30 comprimidos masticables
FAR-000930,"Botica Real Pañal sensitive talla 5, 34 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,9.54,No,0,Botica Real,PADRE-01007,presentacion,"talla 5, 34 unidades"
FAR-004096,Aliviax Tobillera de compresión tobillera talla M,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,19.82,No,0,Aliviax,PADRE-01173,presentacion,tobillera talla M
FAR-001272,Vitalnova Pasta blanqueante 125ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,9.12,No,15,Vitalnova,PADRE-00888,presentacion,125ml
FAR-003536,"Farmalia Pañal sensitive talla 4, 38 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,21.12,Yes,25,Farmalia,PADRE-01006,presentacion,"talla 4, 38 unidades"
FAR-003232,Nortfarma Apósito resistente al agua resistente al agua 15 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,13.61,Yes,5,Nortfarma,PADRE-00807,presentacion,resistente al agua 15 unidades
FAR-003285,Norvital Pasta encías blanqueante 100ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,7.05,No,0,Norvital,PADRE-00922,presentacion,blanqueante 100ml
FAR-000551,PuntoFarma Naproxeno 500mg 16 comprimidos recubiertos,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,11.57,Yes,0,PuntoFarma,PADRE-00055,presentacion,500mg 16 comprimidos recubiertos
FAR-003535,"Farmalia Pañal sensitive talla 3, 42 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,19.63,No,0,Farmalia,PADRE-01006,presentacion,"talla 3, 42 unidades"
FAR-002254,Nortfarma Toallitas sensitive eco 60 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,4.09,No,0,Nortfarma,PADRE-01053,presentacion,eco 60 unidades
FAR-002975,Farmoderma Espuma limpiadora espuma limpiadora 150ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,27.68,Yes,0,Farmoderma,PADRE-01135,presentacion,espuma limpiadora 150ml
FAR-004032,PuntoFarma Omeprazol suspensión oral 200ml,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,7.71,Yes,30,PuntoFarma,PADRE-00191,presentacion,suspensión oral 200ml
FAR-001938,"Vitalnova Pañal sensitive talla 3, 42 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,8.67,Yes,0,Vitalnova,PADRE-01011,presentacion,"talla 3, 42 unidades"
FAR-001481,Cronos Pharma Oximetazolina infantil spray 15ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,17.99,No,0,Cronos Pharma,PADRE-00301,presentacion,infantil spray 15ml
FAR-003807,Herbolar Jarabe pectoral sin azúcar 150ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,4.77,Yes,0,Herbolar,PADRE-00127,presentacion,sin azúcar 150ml
FAR-003645,Farmalia Multivitamínico adultos 24 comprimidos masticables,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,32.00,Yes,0,Farmalia,PADRE-00389,presentacion,24 comprimidos masticables
FAR-004787,Vitalnova Loción antiimperfecciones gel 200ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,23.42,Yes,0,Vitalnova,PADRE-01152,presentacion,gel 200ml
FAR-001614,Nortfarma Apósito infantil tiras surtidas 30 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,6.09,Yes,0,Nortfarma,PADRE-00830,presentacion,tiras surtidas 30 unidades
FAR-002751,Herbolar Omeprazol suspensión oral 200ml,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,11.84,Yes,5,Herbolar,PADRE-00194,presentacion,suspensión oral 200ml
FAR-000389,"MediCare Plus Pañal active dry talla 4, 38 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,7.66,Yes,0,MediCare Plus,PADRE-01021,presentacion,"talla 4, 38 unidades"
FAR-004079,Herbolar Vitamina D3 400ui gotas infantil 10ml,Contribuye a la absorción normal de calcio y al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina D,Vitamina D en gotas,33.56,Yes,40,Herbolar,PADRE-00505,presentacion,400ui gotas infantil 10ml
FAR-002304,Vitalnova Vitamina D infantil 400ui gotas infantil 10ml,Contribuye a la absorción normal de calcio y al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina D,Vitamina D en gotas,27.16,Yes,0,Vitalnova,PADRE-00540,presentacion,400ui gotas infantil 10ml
FAR-002818,Bienestar Plus Colutorio sin alcohol 500ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,3.90,Yes,0,Bienestar Plus,PADRE-00971,presentacion,500ml
FAR-003890,Botica Real Apósito resistente al agua caja 40 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,8.05,Yes,5,Botica Real,PADRE-00802,presentacion,caja 40 unidades
FAR-002527,Vitaxel Magnesio marino 300mg 30 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,11.80,Yes,15,Vitaxel,PADRE-00467,presentacion,300mg 30 comprimidos
FAR-003145,Bruma Salud Paracetamol 400mg 30 cápsulas,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,16.22,Yes,0,Bruma Salud,PADRE-00002,presentacion,400mg 30 cápsulas
FAR-000360,Cronos Pharma Apósito resistente al agua tiras surtidas 30 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,4.22,Yes,0,Cronos Pharma,PADRE-00805,presentacion,tiras surtidas 30 unidades
FAR-003781,Herbolar Gel purificante crema noche 50ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,16.43,Yes,30,Herbolar,PADRE-01102,presentacion,crema noche 50ml
FAR-004310,Salutia Xilometazolina infantil spray 15ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,10.72,Yes,20,Salutia,PADRE-00271,presentacion,infantil spray 15ml
FAR-004497,"PuntoFarma Pañal aqua pure talla 3, 42 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,4.52,No,20,PuntoFarma,PADRE-01037,presentacion,"talla 3, 42 unidades"
FAR-001817,Herbolar Pasta encías sensitive 75ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,8.05,Yes,0,Herbolar,PADRE-00918,presentacion,sensitive 75ml
FAR-000783,Vitaxel Solar facial SPF50 200ml,Protege la piel frente a la radiación UVA/UVB.,Farmacia,Cuidado personal,Protección solar,Protector solar,4.18,No,0,Vitaxel,PADRE-00630,presentacion,SPF50 200ml
FAR-000263,"Aliviax Pañal active dry talla 5, 34 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,8.66,Yes,15,Aliviax,PADRE-01022,presentacion,"talla 5, 34 unidades"
FAR-004533,Farmoderma Loción antiimperfecciones loción 100ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,19.89,Yes,0,Farmoderma,PADRE-01153,presentacion,loción 100ml
FAR-000017,Bruma Salud Toallitas aqua 72 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,5.57,Yes,0,Bruma Salud,PADRE-01079,presentacion,72 unidades
FAR-001618,Herbolar Vitamina C con zinc 500mg 30 comprimidos,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,28.96,Yes,25,Herbolar,PADRE-00338,presentacion,500mg 30 comprimidos
FAR-002414,Farmoderma Champú anticaspa 400ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,20.46,Yes,25,Farmoderma,PADRE-00670,presentacion,400ml
FAR-004381,Farmoderma Gel seborregulador loción 100ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,12.79,Yes,0,Farmoderma,PADRE-01120,presentacion,loción 100ml
FAR-004248,Salutia Multivitamínico adultos 30 comprimidos,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,32.74,No,0,Salutia,PADRE-00376,presentacion,30 comprimidos
FAR-000992,Vitalnova Magnesio sobres 20 unidades,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,15.92,Yes,0,Vitalnova,PADRE-00436,presentacion,sobres 20 unidades
FAR-003852,Farmalia Jarabe balsámico sin azúcar 150ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,15.86,Yes,0,Farmalia,PADRE-00083,presentacion,sin azúcar 150ml
FAR-004873,Bruma Salud Bicarbonato 30 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,2.73,Yes,0,Bruma Salud,PADRE-00177,presentacion,30 comprimidos masticables
FAR-004006,Bienestar Plus Jarabe seco 120ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,6.15,Yes,0,Bienestar Plus,PADRE-00108,presentacion,120ml
FAR-001026,Farmalia Pasta encías 125ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,2.24,Yes,10,Farmalia,PADRE-00927,presentacion,125ml
FAR-002562,Bruma Salud Povidona yodada spray 60ml,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,11.33,Yes,0,Bruma Salud,PADRE-00744,presentacion,spray 60ml
FAR-000070,Farmalia Colutorio blanqueante sin alcohol 500ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,5.97,No,0,Farmalia,PADRE-00992,presentacion,sin alcohol 500ml
FAR-001962,PuntoFarma Magnesio con vitamina B6 500mg 60 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,23.78,No,0,PuntoFarma,PADRE-00458,presentacion,500mg 60 comprimidos
FAR-004801,MediCare Plus Vitamina D3 2000ui gotas 15ml,Contribuye a la absorción normal de calcio y al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina D,Vitamina D en gotas,27.14,Yes,0,MediCare Plus,PADRE-00506,presentacion,2000ui gotas 15ml
FAR-001013,Botica Real Hidratante clásica crema intensiva 100ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,18.07,Yes,0,Botica Real,PADRE-00541,presentacion,crema intensiva 100ml
FAR-003574,Farmalia Vitamina C goma de mascar 60 unidades,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,13.94,Yes,15,Farmalia,PADRE-00316,presentacion,goma de mascar 60 unidades
FAR-003046,Farmalia Loción antiimperfecciones crema noche 50ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,22.56,Yes,0,Farmalia,PADRE-01145,presentacion,crema noche 50ml
FAR-004578,Aliviax Cetirizina 10mg 10 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,14.92,Yes,20,Aliviax,PADRE-00225,presentacion,10mg 10 comprimidos
FAR-000142,Vitalnova Omeprazol 30 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,2.59,Yes,30,Vitalnova,PADRE-00184,presentacion,30 comprimidos masticables
FAR-001823,PuntoFarma Ebastina gotas 20ml,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,17.69,Yes,15,PuntoFarma,PADRE-00252,presentacion,gotas 20ml
