sku,nombre,descripcion,categoria_nivel1,categoria_nivel2,categoria_nivel3,categoria_nivel4,precio,stock,descuento,marca
ALI-000294,Queso curado añejo,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,16.59,Yes,0,Punto Sabor
ALI-000608,Lasaña congelada familiar,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,1.93,No,0,Verde Cosecha
JOY-000088,Collar con colgante corazón,"Collar de plata con acabado brillante, diseño delicado y atemporal.",Joyería,Collares,Collares de plata,Collar con colgante,1735.09,No,30,Gema Pura
ALI-000226,Zumo de naranja pack 6 unidades,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,9.66,Yes,0,Sabor Norte
ROP-000575,Sudadera con capucha estampada,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,86.76,No,25,Costura 21
ROP-000145,Camiseta infantil estampada unicornios,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,14.85,Yes,0,TrazoBlue
ALI-000178,Refresco de cola sin azúcar,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,4.50,Yes,0,La Tahona Azul
ALI-000021,Tomates rama,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,27.42,No,0,La Tahona Azul
ALI-000382,Queso curado de oveja,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,4.56,Yes,0,Sabores del Sur
JOY-000027,Pendientes de aro de plata 925,"Pendientes ligeros de plata con acabado brillante, fáciles de combinar.",Joyería,Pendientes,Pendientes de plata,Pendientes de aro,1409.51,Yes,25,Metal Noble
ROP-000524,Sujetador con aros push up,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,9.00,Yes,0,NordVía
ROP-000382,Zapatillas deportivas de malla transpirable,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,48.32,No,0,Estilo Urbano
ROP-000158,Gorro de punto unisex,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,141.26,Yes,0,Hilo & Forma
ALI-000310,Yogur natural griego,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,26.85,Yes,30,Verde Cosecha
ELE-000071,Secador iónico 2000W,Secador con tecnología iónica que reduce el encrespamiento del cabello.,Electrodomésticos,Cuidado personal,Secadores de pelo,Secador iónico,1054.53,Yes,0,CocinaSmart
ALI-000345,Manzanas ecológicas,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,16.00,Yes,0,Sabor Norte
ALI-000298,Zumo de naranja sin pulpa,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,4.11,Yes,0,Nutrivida
JOY-000125,Pendientes de perla blanca,"Pendientes elegantes con perla natural, acabado delicado y atemporal.",Joyería,Pendientes,Pendientes de perla,Pendientes de perla,1084.14,No,0,Esencia de Oro
ROP-000688,Abrigo de invierno infantil impermeable,Abrigo cálido y resistente pensado para los meses más fríos.,Ropa,Niños,Abrigos,Abrigo de invierno,112.36,Yes,0,Costura 21
ALI-000392,Yogur natural pack 4 unidades,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,27.76,Yes,0,Huerta Real
ROP-000448,Zapatillas deportivas unisex,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,21.56,Yes,10,SolTejido
ALI-000612,Pan integral multicereales,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,15.59,Yes,0,Sabor Norte
ALI-000295,Manzanas de temporada,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,13.88,Yes,0,Delicia Natural
ALI-000595,Tomates cherry,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,2.09,No,0,Sabores del Sur
ELE-000090,Ventilador de torre con temporizador,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,1346.68,No,0,Confort Total
ALI-000681,Croissant de mantequilla,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,5.11,Yes,60,Nutrivida
ROP-000384,Blusa manga larga lisa blanca,"Blusa ligera de tacto suave, versátil para looks casuales o de oficina.",Ropa,Mujer,Camisas,Blusa manga larga,66.96,Yes,30,TelaViva
ELE-000069,Robot aspirador navegación láser,Robot inteligente que limpia y friega de forma autónoma.,Electrodomésticos,Limpieza,Robots aspiradores,Robot aspirador,760.96,Yes,70,TecnoCasa
JOY-000105,Collar con colgante minimalista,"Collar de plata con acabado brillante, diseño delicado y atemporal.",Joyería,Collares,Collares de plata,Collar con colgante,991.58,Yes,0,Metal Noble
JOY-000144,Anillo de compromiso clásico,"Anillo elaborado en oro de alta calidad, acabado pulido y elegante.",Joyería,Anillos,Anillos de oro,Anillo de compromiso,829.60,Yes,5,Brillo Eterno
ROP-000436,Gorro de punto de lana merino,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,153.23,Yes,0,NordVía
ROP-000159,Sudadera con capucha estampada,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,54.81,Yes,0,UrbanCotto
ALI-000511,Manzanas de temporada,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,20.75,No,0,Grano de Oro
ROP-000007,Bufanda de lana unisex,"Bufanda cálida tejida en lana suave, ideal para el invierno.",Ropa,Accesorios,Bufandas,Bufanda de lana,105.69,Yes,50,Alta Fibra
ELE-000111,Aire acondicionado Split 1x1 bomba de calor,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,1210.45,Yes,0,Vitalux
ROP-000257,Sujetador sin aros blanco,"Sujetador sin aros, cómodo y flexible, ideal para el uso diario.",Ropa,Mujer,Lencería,Sujetador sin aros,17.17,No,5,Costura 21
ALI-000486,Refresco de cola light,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,15.57,Yes,15,Nutrivida
ROP-000352,Sudadera con capucha de algodón orgánico,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,128.51,No,0,Hilo & Forma
ROP-000017,Gorro de punto de lana merino,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,37.71,Yes,70,Costura 21
ROP-000317,Sujetador con aros negro,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,124.19,Yes,0,TelaViva
ROP-000628,Sujetador con aros push up,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,52.96,No,0,Costura 21
ELE-000211,Aire acondicionado Split 1x1 bomba de calor,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,416.13,No,0,NordLine
ALI-000250,Zumo de naranja sin pulpa,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,29.84,Yes,0,Sabores del Sur
ELE-000269,Cafetera de cápsulas programable,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,432.00,Yes,0,NordLine
ELE-000027,Batidora de mano 600W,"Batidora versátil pensada para triturar, batir y emulsionar.",Electrodomésticos,Pequeño electrodoméstico,Batidoras,Batidora de mano,1234.23,Yes,0,Domus Pro
JOY-000023,Pendientes largos con borla,"Pendientes de diseño llamativo, perfectos para ocasiones especiales.",Joyería,Pendientes,Pendientes colgantes,Pendientes largos,1145.04,Yes,0,Aurea Diseño
ROP-000639,Bota de invierno con forro polar,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,42.79,Yes,0,Estilo Urbano
ALI-000137,Yogur natural pack 4 unidades,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,28.38,Yes,0,Punto Sabor
ELE-000204,Horno eléctrico de sobremesa,Horno con distribución uniforme del calor y múltiples funciones de cocinado.,Electrodomésticos,Cocina,Hornos,Horno eléctrico,880.86,Yes,15,Vitalux
ROP-000516,Zapatillas deportivas de malla transpirable,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,107.57,Yes,0,UrbanCotto
ALI-000636,Zumo de naranja con pulpa,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,24.59,Yes,0,Huerta Real
ROP-000266,Gorro de punto térmico,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,51.17,Yes,0,Hilo & Forma
ALI-000254,Lasaña congelada de carne,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,7.53,Yes,0,Huerta Real
ALI-000300,Zumo de naranja pack 6 unidades,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,9.73,Yes,0,Cesta Rústica
ELE-000390,Depiladora eléctrica con cabezales intercambiables,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,1137.90,Yes,0,HogarTech
ALI-000571,Yogur natural con bífidus,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,24.72,Yes,0,Grano de Oro
ALI-000413,Yogur natural con bífidus,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,10.11,Yes,30,Campo Fresco
ELE-000118,Ventilador de torre silencioso,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,888.54,No,0,HogarTech
ALI-000052,Lasaña congelada familiar,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,21.67,Yes,0,Campo Fresco
ROP-000596,Blusa manga larga estampada,"Blusa ligera de tacto suave, versátil para looks casuales o de oficina.",Ropa,Mujer,Camisas,Blusa manga larga,77.07,Yes,0,NordVía
ALI-000043,Helado de vainilla tarrina 1L,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,25.92,Yes,70,Punto Sabor
ALI-000183,Refresco de cola light,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,20.05,Yes,0,Sabor Norte
ALI-000504,Helado de vainilla tarrina 1L,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,3.62,Yes,0,La Espiga Dorada
ROP-000027,Sujetador con aros con encaje,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,75.64,Yes,0,Vestir Norte
ALI-000429,Yogur natural griego,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,19.08,Yes,0,Sabores del Sur
ELE-000143,Ventilador de torre bajo consumo,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,725.76,Yes,0,CocinaSmart
ALI-000568,Queso curado mezcla,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,9.67,Yes,10,Delicia Natural
ELE-000160,Robot aspirador navegación láser,Robot inteligente que limpia y friega de forma autónoma.,Electrodomésticos,Limpieza,Robots aspiradores,Robot aspirador,169.98,Yes,0,HogarTech
ELE-000396,Batidora de mano multivelocidad,"Batidora versátil pensada para triturar, batir y emulsionar.",Electrodomésticos,Pequeño electrodoméstico,Batidoras,Batidora de mano,189.77,Yes,0,Vitalux
ALI-000609,Queso curado de oveja,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,3.92,Yes,0,Cesta Rústica
ALI-000662,Helado de vainilla con trozos de chocolate,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,10.25,Yes,0,Huerta Real
ROP-000015,Sudadera sin capucha oversize,"Sudadera básica sin capucha, cómoda y versátil para combinar con cualquier look.",Ropa,Mujer,Sudaderas,Sudadera sin capucha,47.24,Yes,0,NordVía
JOY-000171,Cadena fina de oro 45cm,"Cadena de oro de acabado fino, ideal para uso diario o combinar con colgantes.",Joyería,Collares,Collares de oro,Cadena fina,771.09,Yes,5,Aurea Diseño
ROP-000282,Sudadera con capucha de algodón orgánico,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,129.33,Yes,30,Hilo & Forma
ROP-000273,Pantalón vaquero negro,Pantalón vaquero de algodón resistente con corte cómodo.,Ropa,Hombre,Pantalones,Pantalón vaquero,192.31,Yes,0,Modaline
ALI-000507,Queso curado de cabra,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,4.88,Yes,40,Grano de Oro
ROP-000695,Zapatillas deportivas de malla transpirable,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,199.69,Yes,25,TrazoBlue
ELE-000321,Robot aspirador navegación láser,Robot inteligente que limpia y friega de forma autónoma.,Electrodomésticos,Limpieza,Robots aspiradores,Robot aspirador,1243.50,Yes,30,CasaFácil
JOY-000047,Collar con colgante de plata 925,"Collar de plata con acabado brillante, diseño delicado y atemporal.",Joyería,Collares,Collares de plata,Collar con colgante,1801.85,Yes,0,Joyas del Valle
JOY-000096,Anillo ajustable con inicial,"Anillo de plata de talla ajustable, cómodo para uso diario.",Joyería,Anillos,Anillos de plata,Anillo ajustable,1689.69,Yes,0,Gema Pura
ROP-000022,Camiseta básica algodón manga corta gris jaspeado,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,87.03,No,40,Estilo Urbano
ROP-000675,Zapatillas deportivas running,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,169.36,No,0,TrazoBlue
JOY-000199,Pendientes de perla gris,"Pendientes elegantes con perla natural, acabado delicado y atemporal.",Joyería,Pendientes,Pendientes de perla,Pendientes de perla,939.01,Yes,0,Plata del Norte
ELE-000308,Aspiradora sin cable con batería de larga duración,"Aspiradora inalámbrica de fácil manejo, ideal para limpiezas rápidas.",Electrodomésticos,Limpieza,Aspiradoras,Aspiradora sin cable,641.46,No,0,Impulso Hogar
ROP-000424,Camiseta infantil estampada dinosaurios,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,68.98,Yes,0,NordVía
ALI-000478,Lasaña congelada de carne,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,27.67,No,0,La Tahona Azul
JOY-000102,Cadena fina de oro 18k,"Cadena de oro de acabado fino, ideal para uso diario o combinar con colgantes.",Joyería,Collares,Collares de oro,Cadena fina,1080.45,Yes,0,Gema Pura
ALI-000657,Queso curado añejo,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,12.79,Yes,60,Sabores del Sur
ALI-000391,Refresco de cola zero cafeína,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,7.28,No,70,Huerta Real
ALI-000042,Tomates rama,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,28.84,Yes,0,Huerta Real
ALI-000279,Manzanas Golden,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,25.66,Yes,50,La Espiga Dorada
ROP-000452,Bota de invierno impermeable,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,136.65,Yes,0,Hilo & Forma
ROP-000473,Sujetador con aros con encaje,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,167.31,Yes,20,Modaline
ALI-000158,Queso curado mezcla,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,11.56,Yes,0,Grano de Oro
ALI-000466,Pan integral con semillas,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,17.12,Yes,0,La Tahona Azul
ROP-000678,Camiseta infantil estampada pack 2 unidades,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,176.29,Yes,0,Vestir Norte
ALI-000306,Tomates cherry,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,11.90,Yes,0,Sabor Norte
ALI-000449,Lasaña congelada boloñesa,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,8.39,No,10,Verde Cosecha
ELE-000386,Robot aspirador con mopa,Robot inteligente que limpia y friega de forma autónoma.,Electrodomésticos,Limpieza,Robots aspiradores,Robot aspirador,799.33,Yes,0,Confort Total
ROP-000417,Gorro de punto reversible,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,36.31,Yes,20,Modaline
ALI-000106,Manzanas Golden,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,26.51,Yes,0,Delicia Natural
ALI-000537,Zumo de naranja sin pulpa,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,26.62,Yes,30,Punto Sabor
ROP-000635,Zapatillas deportivas running,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,137.71,Yes,0,Costura 21
ROP-000606,Camiseta infantil estampada dinosaurios,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,114.07,Yes,0,Prenda Libre
ROP-000124,Sudadera con capucha de algodón orgánico,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,96.27,Yes,0,NordVía
ELE-000296,Ventilador de torre con temporizador,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,932.08,Yes,0,Vitalux
ELE-000026,Horno eléctrico empotrable,Horno con distribución uniforme del calor y múltiples funciones de cocinado.,Electrodomésticos,Cocina,Hornos,Horno eléctrico,702.81,Yes,0,Domus Pro
ALI-000561,Croissant sin gluten,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,16.79,No,0,Sabores del Sur
ELE-000154,Cafetera de cápsulas con espumador de leche,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,563.24,Yes,0,NordLine
ELE-000238,Aire acondicionado Split 1x1 inverter,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,67.54,Yes,0,Impulso Hogar
ELE-000300,Ventilador de torre silencioso,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,321.57,Yes,0,Aire Puro
ELE-000004,Secador iónico con difusor,Secador con tecnología iónica que reduce el encrespamiento del cabello.,Electrodomésticos,Cuidado personal,Secadores de pelo,Secador iónico,54.39,Yes,15,CasaFácil
ROP-000627,Gorro de punto de lana merino,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,177.37,No,0,Modaline
ELE-000378,Depiladora eléctrica recargable,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,742.78,Yes,0,HogarTech
ALI-000575,Refresco de cola original,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,11.49,Yes,0,Campo Fresco
JOY-000050,Reloj de pulsera clásico resistente al agua,Reloj de diseño clásico con maquinaria de precisión y acabado elegante.,Joyería,Relojes,Relojes analógicos,Reloj de pulsera clásico,1906.56,Yes,25,Reflejo Fino
ELE-000030,Frigorífico combi con dispensador de agua,Frigorífico de gran capacidad con tecnología de enfriamiento eficiente.,Electrodomésticos,Cocina,Frigoríficos,Frigorífico combi,674.25,Yes,0,Vitalux
ELE-000319,Depiladora eléctrica recargable,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,586.91,Yes,0,CasaFácil
ELE-000035,Aspiradora sin cable ligera,"Aspiradora inalámbrica de fácil manejo, ideal para limpiezas rápidas.",Electrodomésticos,Limpieza,Aspiradoras,Aspiradora sin cable,851.84,Yes,0,Aire Puro
ELE-000274,Cafetera de cápsulas multibebida,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,1249.21,Yes,30,Confort Total
ELE-000103,Frigorífico combi con dispensador de agua,Frigorífico de gran capacidad con tecnología de enfriamiento eficiente.,Electrodomésticos,Cocina,Frigoríficos,Frigorífico combi,477.16,No,0,Aire Puro
ALI-000581,Croissant integral,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,7.93,Yes,70,Nutrivida
ROP-000055,Gorro de punto con pompón,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,191.81,Yes,0,Estilo Urbano
ELE-000364,Frigorífico combi con dispensador de agua,Frigorífico de gran capacidad con tecnología de enfriamiento eficiente.,Electrodomésticos,Cocina,Frigoríficos,Frigorífico combi,1485.81,Yes,0,Impulso Hogar
ALI-000401,Refresco de cola original,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,5.05,Yes,0,Delicia Natural
ELE-000346,Batidora de mano 600W,"Batidora versátil pensada para triturar, batir y emulsionar.",Electrodomésticos,Pequeño electrodoméstico,Batidoras,Batidora de mano,176.38,Yes,40,Electra Norte
ELE-000061,Ventilador de torre oscilante,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,618.74,Yes,0,Domus Pro
ELE-000095,Depiladora eléctrica silenciosa,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,973.10,Yes,40,NordLine
ROP-000300,Abrigo de invierno infantil reversible,Abrigo cálido y resistente pensado para los meses más fríos.,Ropa,Niños,Abrigos,Abrigo de invierno,47.59,Yes,25,Vestir Norte
ROP-000113,Camiseta básica algodón manga corta gris jaspeado,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,90.31,Yes,20,Hilo & Forma
ALI-000421,Zumo de naranja 1L,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,0.81,Yes,0,Sabor Norte
ELE-000147,Cafetera de cápsulas multibebida,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,1289.72,No,0,Impulso Hogar
ROP-000573,Vestido largo estampado floral,"Vestido de corte fluido, tejido ligero y caída favorecedora.",Ropa,Mujer,Vestidos,Vestido largo,66.39,No,0,Modaline
ROP-000190,Camiseta básica algodón manga corta negra,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,120.11,Yes,0,TelaViva
ROP-000600,Pantalón vaquero slim fit,Pantalón vaquero de algodón resistente con corte cómodo.,Ropa,Hombre,Pantalones,Pantalón vaquero,86.43,Yes,0,UrbanCotto
ROP-000578,Gorro de punto térmico,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,72.32,Yes,0,Hilo & Forma
ALI-000258,Tomates de huerta,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,23.70,Yes,0,La Tahona Azul
ALI-000077,Yogur natural con bífidus,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,13.93,No,0,Sabor Norte
ELE-000106,Frigorífico combi clase energética A++,Frigorífico de gran capacidad con tecnología de enfriamiento eficiente.,Electrodomésticos,Cocina,Frigoríficos,Frigorífico combi,1096.55,Yes,15,Domus Pro
ROP-000179,Bota de invierno con forro polar,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,42.69,Yes,5,TrazoBlue
ELE-000356,Cafetera de cápsulas compacta,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,169.53,Yes,0,Electra Norte
JOY-000007,Pulsera trenzada con cierre magnético,"Pulsera artesanal trenzada a mano, resistente y de estilo casual.",Joyería,Pulseras,Pulseras de cuero,Pulsera trenzada,1713.12,Yes,0,Gema Pura
ROP-000304,Sudadera sin capucha de algodón,"Sudadera básica sin capucha, cómoda y versátil para combinar con cualquier look.",Ropa,Mujer,Sudaderas,Sudadera sin capucha,90.03,Yes,10,TelaViva
JOY-000178,Pulsera trenzada de cuero marrón,"Pulsera artesanal trenzada a mano, resistente y de estilo casual.",Joyería,Pulseras,Pulseras de cuero,Pulsera trenzada,1669.79,Yes,0,Metal Noble
ELE-000175,Aire acondicionado Split 1x1 bomba de calor,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,215.80,Yes,15,NordLine
ELE-000384,Aire acondicionado Split 1x1 bomba de calor,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,220.82,Yes,0,TecnoCasa
JOY-000011,Pendientes largos de plata oxidada,"Pendientes de diseño llamativo, perfectos para ocasiones especiales.",Joyería,Pendientes,Pendientes colgantes,Pendientes largos,1156.32,No,60,Plata del Norte
